Code,Name,Description,,Назва укр.,Опис укр.
UHP,Unexpected handling party ,Party authorized (during a voyage) to apply unexpected handling procedures or party having applied these procedures.,,"Сторона, що використовує несподівану обробку","Сторона, уповноважена (під час рейсу) застосовувати несподівані процедури обробки, або сторона, яка застосувала ці процедури."
UI,Assignee ,Identifies the assignee.,,Правонаступник,Ідентифікує правонаступника.
UJ,Key person ,Identifies the key person.,,Ключова особа,Визначає ключову особу.
UK,Author ,Identifies the author.,,Автор,Ідентифікує автора.
UL,Ultimate parent company , Identifies the ultimate parent company.,,Кінцева материнська компанія,Визначає кінцеву материнську компанію.
UM,Party not to be confused with ,Identifies a party not to be confused with another party.,,Сторону не плутати,"Визначає сторону, яку не слід плутати з іншою стороною."
UN,Accountant ,Identifies the accountant.,,Бухгалтер,Ідентифікує бухгалтера.
UO,Plaintiff ,Identifies the plaintiff.,,Позивач,Ідентифікує позивача.
UP,Unloading party ,A party to unload the goods.,,Сторона з розвантаження,Сторона розвантаження товару.
UQ,Parent company ,Identifies the parent company.,,Материнська компанія,Ідентифікує материнську компанію.
UR,Affiliated company ,Identifies the affiliated company.,,Дочірня компанія,Визначає дочірню компанію.
US,Bailiff ,Identifies the bailiff.,,Судовий пристав,Ідентифікує судового пристава.
UT,Merged company ,Identifies the company involved in a merger.,,Об’єднана компанія,"Визначає компанію, яка бере участь у злитті."
UU,Defendant ,Identifies the defendant.,,Відповідач,Ідентифікує відповідача.
UV,Petitioning creditor ,Identifies the petitioning creditor.,,"Кредитор, який подає клопотання","Визначає кредитора, який подав клопотання."
UW,Guarantee agency ,Identifies the guarantee agency.,,Гарантійне агентство,Визначає гарантійне агентство.
UX,Organization group ,Identifies the organization group.,,Організаційна група,Визначає організаційну групу.
UY,Subsidiary ,Identifies the subsidiary.,,Дочірнє підприємство,Визначає дочірнє підприємство.
UZ,Industry association ,Identifies the industry association.,,Галузева асоціація,Визначає галузеву асоціацію.
VA,Joint owner ,Identifies the joint owner.,,Спільний власник,Ідентифікує спільного власника.
VB,Joint venture ,Identifies the joint venture.,,Спільне підприємство,Визначає спільне підприємство.
VC,Filing office ,Identifies the filing office.,,Офіс подачі документів,Ідентифікує офіс подання документів.
VE,Court ,Identifies the court.,,Суд,Ідентифікує суд.
VF,Liability holder ,Identifies the liability holder.,,Власник відповідальності,Визначає власника відповідальності.
VG,Local government sponsor ,Identifies the local government sponsor.,,Спонсор місцевого самоврядування,Визначає спонсора місцевого самоврядування.
VH,Mortgage company ,Identifies the mortgage company.,,Іпотечна компанія,Ідентифікує іпотечну компанію.
VI,Notary public ,Identifies the notary public.,,Державний нотаріус,Визначає державного нотаріуса.
VJ,Officer ,Identifies the officer.,,Офіцер,Ідентифікує офіцера.
VK,Publisher ,Identifies the publisher.,,Видавець,Ідентифікує видавця.
VL,Party manufactured for ,Identifies the party for whom manufacturing of goods is done.,,Виготовлено для сторони,"Вказує сторону, для якої виробляється товар."
VM,Previous owner  Identifies the previous owner.,Identifies the previous owner.,,Попередній власник,Ідентифікує попереднього власника.
VN,Vendor ,Party vending goods or services.,,Продавець,Торгівля товарами чи послугами для сторони.
VO,Purchased company ,Identifies the purchased company.,,Придбана компанія,Ідентифікує придбану компанію.
VP,Receiver manager ,Manager of a business which is in receivership status and which will not be liquidated.,,Менеджер установи під санацією,"Менеджер бізнесу, який перебуває в стані банкрутства та не підлягає ліквідації."
VQ,Responsible government agency ,Identifies the responsible government agency.,,Відповідальна державна установа,Визначає відповідальну державну установу.
VR,Sole proprietor ,Identifies the sole proprietor.,,Індивідуальний підприємець,Ідентифікує ФОП.
VS,Auctioneer ,Identifies the auctioneer.,,Аукціоніст,Ідентифікує аукціоніста.
VT,Branch ,Identifies the branch.,,Відділення,Визначає відділення.
VU,Business ,Identifies the business.,,Бізнес,Визначає бізнес.
VV,Ultimate same country parent company ,Identifies the highest level parent company in the same country.,,Кінцева материнська компанія тієї ж країни,Визначає материнську компанію найвищого рівня в тій самій країні.
VW,Responsible party ,Identifies the party that can be called to account.,,Відповідальна сторона,"Визначає сторону, яку можна притягнути до відповідальності."
VX,Secured party ,Identifies a party that is guaranteed against loss.,,Захищена сторона,"Визначає сторону, гарантовану від втрати."
VY,Other related party ,Identifies an entity as an unspecified but related party.,,Інша пов'язана сторона,"Визначає суб’єкт господарювання як невизначену, але пов’язану сторону."
VZ,Co-debtor ,Identifies an entity as a joint or mutual debtor.,,Співборжник,Визначає суб’єкта господарювання як спільного або взаємного боржника.
WA,Company which holds financial interest ,Identifies a company which holds any financial stake in an undertaking or organization.,,"Компанія, яка має фінансові інтереси","Визначає компанію, яка має будь -які фінансові частки в підприємстві чи організації."
WB,Rating organization ,Identifies an organization responsible for assigning a classification or rating.,,Рейтингова організація,"Визначає організацію, відповідальну за присвоєння класифікації або рейтингу."
WC,Information reference agency ,The agency responsible for the reference of information.,,Інформаційно-довідкове агентство,"Агентство, відповідальне за довідку з інформації."
WD,Warehouse depositor ,[3004] Party depositing goods in a warehouse.,,Депонент складу,"[3004] Сторона, що здає товар на склад"
WE,Compilation agency ,The agency responsible for the compilation of information.,,Компіляційне агентство,"Агентство, відповідальне за збір інформації."
WF,Information maintenance agency ,The agency responsible for the maintenance of information.,,Агентство з підтримки інформації,"Агентство, відповідальне за збереження інформації."
WG,Information dissemination agency ,The agency rеsponsible for the dissemination of information.,,Агентство з розповсюдження інформації,"Орган, відповідальний за поширення інформації."
WH,Warehouse keeper ,[3022] Party taking responsibility for goods entered into a warehouse.,,Утримувач складу,"[3022] Сторона, що бере на себе відповідальність за товари, що надійшли на склад."
WI,Inspection address ,Specifies the address for an inspection.,,Адреса перевірки,Вказує адресу для перевірки.
WJ,Refusal party ,Identification of the party responsible for a refusal.,,Сторона відмови,"Визначення сторони, відповідальної за відмову."
WK,Value added network provider ,A party that provides telecommunications interconnectivity services in an electronic data interchange environment.,,Постачальник послуг з доданою вартістю,"Сторона, яка надає послуги телекомунікацій взаємозв’язку у середовищі електронного обміну даними."
WL,Agency ,The business or establishment of an agent.,,Агентство,Бізнес або установа агента.
WM,Works manager ,A party managing works.,,Керівник робіт,"Сторона, що керує певними роботами."
WN,Party to receive order to supply ,Party designated by the registering party to receive a binding direction to supply something.,,Сторона для отримання замовлення на поставку,"Сторона, призначена зареєструючою стороною для отримання обов'язкового вказівки щодо постачання."
WO,Party to receive invitation to offer ,An entity to receive an invitation to offer.,,"Сторона для отримання запрошення, оферти","Суб’єкт господарювання, який отримає запрошення, оферту."
WP,Sub-entity ,A part into which an entity has been divided.,,Субсутність,"Частина, на яку поділений певний об'єкт"
WPA,Weighting party ,Party designated (legally accepted) to ascertain the weight.,,Сторона для зважування,"Сторона, призначена (визнана законом) для встановлення ваги."
WQ,Doing business as  ,The name under which business is conducted.,,Ведення бізнесу як,"Найменування, під яким ведеться бізнес."
WR,Party submitting quote  ,The party stating the price of something to be purchased.,,"Сторона, що подає розцінку","Сторона, яка визначає ціну того, що потрібно придбати."
WS,Wholesaler ,"Seller of articles, often in large quantities, to be retailed by others.",,Оптовик,"Продавець товарів, часто у великій кількості, для роздрібної торгівлі іншими."
WT,Affiliated party  ,A party attached or connected to another party.,,Дочірня сторона,"Сторона, приєднана або приєднана до іншої сторони."
WU,Previous name  ,Name of an entity used before the current name.,,Попередня назва,"Назва об'єкту, яка використовувалася перед поточною назвою."
WV,Party performing task  ,An entity responsible for performing a task to be undertaken.,,"Сторона, що виконує завдання","Суб’єкт, відповідальний за виконання поставленого завдання."
WW,Registering party ,Party performing the registration.,,Реєструюча сторона,"Сторона, яка здійснює реєстрацію."
WX,Inland clearance depot operator  ,Party that offers the facility for the goods or container(s) to be cleared by customs authorities or other governmental authorities in the interior of a country.,,Оператор внутрішнього митного складу,"Сторона, яка пропонує митним органам або іншим урядовим органам у внутрішній частині країни можливість розмитнення товарів або контейнерів."
WY,Destination terminal operator  ,Party that operates a terminal to which goods or containers are destined.,,Оператор терміналу призначення,"Сторона, яка експлуатує термінал, до якого призначені товари або контейнери."
WZ,Departure terminal operator ,Party that operates a terminal from which goods or containers have departed or will depart.,,Оператор терміналу відправлення,"Сторона, яка експлуатує термінал, з якого відправились або будуть відправлятися товари чи контейнери."
ZZZ,Mutually defined ,Party specification mutually agreed between interchanging parties.,,Взаємно визначені,"Специфікації сторін, взаємно узгоджені між сторонами, що взаємодіють."
